FID,FID_1,Name,Elevation,MaxDepth,new_area,val11_pct,val21_pct,val22_pct,val42_pct,val71_pc_1,total_LC,subcatchment,outlet_node,area,imperv
160,157,F143640,1.54,4.81,265284.0326,0.240731732,0.024507326,0.025156527,0.140511375,0.569227282,1.000134242,F143640#1,F143640,1.32,60
161,186,F14601,2.46,6.81,265284.0326,0.240731732,0.024507326,0.025156527,0.140511375,0.569227282,1.000134242,F14601#1,F14601,0.146,11
162,156,F143637,0.87,5.35,27254.30628,0,0.054897146,0.449445703,0.003554491,0.491309714,0.999207054,F143637#1,F143637,0.411,20
163,158,F143643,3.24,3.15,57496.66845,0,0.098846511,0.500597671,0.000187209,0.400066276,0.999697667,F143643#1,F143643,1.795,14
164,159,F143648,4.03,3.1,89841.532,0,0.044569308,0.133947545,0.011262137,0.810394626,1.000173616,F143648#1,F143648,2.352,41
165,160,F143648.1,6.2,3.4,404488.5075,0,0.081456781,0.316832551,0.16945991,0.432085514,0.999834756,F143648.1#1,F143648.1,1.744,39
166,198,F149001.2,6.37,3.83,404488.5075,0,0.081456781,0.316832551,0.16945991,0.432085514,0.999834756,F149001.2#1,F149001.2,3.508,36
167,161,F143649,4.77,3.35,106270.7672,0,0.089335664,0.448602786,0.015294428,0.445665446,0.998898325,F143649#1,F143649,0.355,61
168,162,F143651,6.22,2.9,40767.99616,0,0.093994131,0.561852556,0.001056114,0.343765051,1.000667851,F143651#1,F143651,0.268,72
170,164,F143661,1.65,5.64,256379.3449,0,0.057476527,0.551505958,0.053194127,0.338183655,1.000360267,F143661#1,F143661,3.371,50
171,165,F143662,1.46,5.72,256379.3449,0,0.057476527,0.551505958,0.053194127,0.338183655,1.000360267,F143662#1,F143662,1.681,54
172,166,F143665,1.92,4.86,155673.849,0,0.048193361,0.530196117,0.051512273,0.3704735,1.000375251,F143665#1,F143665,3.301,33
174,168,F143671,3.7,3.583,155673.849,0,0.048193361,0.530196117,0.051512273,0.3704735,1.000375251,F143671#1,F143671,0.916,17
175,169,F143674,3.86,3.91,155673.849,0,0.048193361,0.530196117,0.051512273,0.3704735,1.000375251,F143674#1,F143674,4.538,17
176,170,F143676,4.18,3.82,69460.25939,0,0.019215664,0.543927252,0.033317481,0.403528935,0.999989332,F143676#1,F143676,1.1,26
177,171,F143682.01,4.33,4.09,156603.9666,0,0.103649852,0.189910173,0.065502857,0.641144442,1.000207324,F143682.01#1,F143682.01,5.774,21
178,172,F143692,5.08,3.83,230382.4445,0,0.082510918,0.51767892,0.003924642,0.39578142,0.999895899,F143692#1,F143692,2.083,64
179,173,F143693,5.27,5.56,191497.4627,0,0.121018317,0.531794842,0.016132028,0.330959521,0.999904709,F143693#1,F143693,4.76,56
180,174,F143701,3.3,7.51,42920.16411,0,0.049405461,0.496311711,0.0554244,0.399757891,1.000899463,F143701#1,F143701,0.393,65
181,177,F143707,4.93,6.2,42920.16411,0,0.049405461,0.496311711,0.0554244,0.399757891,1.000899463,F143707#1,F143707,0.592,59
182,175,F143702,4.64,6.35,37358.09814,0,0.088167143,0.327889573,0.006626942,0.578848991,1.001532649,F143702#1,F143702,1.065,51
183,176,F143705,7.08,4.05,14960.38122,0,0.000719494,0.189946532,0.16044726,0.64826449,0.999377777,F143705#1,F143705,0.343,55
184,178,F143708,5.13,5.61,144689.3802,0,0.087337658,0.549691616,0.04552866,0.317212755,0.999770689,F143708#1,F143708,2.682,34
185,179,F144001,4.37,2.25,197820.4056,0,0.049624238,0.456738876,0.125584147,0.367828783,0.999776044,F144001#1,F144001,4.541,52
186,180,F145017,7.45,2.66,82311.68611,0,0.057669634,0.566365497,0.038446423,0.337125433,0.999606986,F145017#1,F145017,2.17,70
187,181,F14502,1.32,7,52760.73374,0,0.108535274,0.633054429,0,0.258689338,1.000279041,F14502#1,F14502,0.452,38
188,182,F14503,1.19,6.8,52760.73374,0,0.108535274,0.633054429,0,0.258689338,1.000279041,F14503#1,F14503,0.52,27
189,183,F14504,1.55,7.17,52760.73374,0,0.108535274,0.633054429,0,0.258689338,1.000279041,F14504#1,F14504,0.691,21
190,184,F146005,0.76,7.15,25547.8887,0,0.090163105,0.551933027,0.008847781,0.349276702,1.000220615,F146005#1,F146005,1.271,15
191,185,F146006,6.87,4.22,33142.91986,0,0.058783834,0.265663958,0.011042267,0.664484669,0.999974729,F146006#1,F146006,0.761,7
192,188,F14602,2.47,6.79,40182.11677,0,0.076881029,0.714431026,0,0.207605566,0.998917622,F14602#1,F14602,0.475,5
194,190,F14604,3.8,6.04,90953.34026,0,0.064498253,0.63930195,0.006627343,0.289117857,0.999545404,F14604#1,F14604,1.065,16
195,192,F147005,1.03,5,78446.04468,0,0.101126864,0.61156368,0.008232852,0.279916964,1.00084036,F147005#1,F147005,4.569,52
196,193,F147020,6.05,5.15,156981.0623,0,0.090647179,0.573367407,0.02379317,0.312053943,0.999861699,F147020#1,F147020,2.045,65
197,194,F147143,2.25,8.87,142786.1045,0,0.062343283,0.700400774,0.086541824,0.150618959,0.99990484,F147143#1,F147143,0.784,62
198,195,F147147,5.24,8.03,19908.4607,0,0.009191393,0.887780442,0,0.104349345,1.00132118,F147147#1,F147147,0.221,52
199,196,F147148,5.9,6.54,19908.4607,0,0.009191393,0.887780442,0,0.104349345,1.00132118,F147148#1,F147148,0.052,49
200,197,F147148.1,6.5,7.75,112677.7505,0,0.008788601,0.847526854,0.046235685,0.097629897,1.000181037,F147148.1#1,F147148.1,0.792,66
201,199,F149011,5.6,5.14,77310.07572,0,0.20244097,0.500533211,0.020606096,0.27595461,0.999534887,F149011#1,F149011,1.08,69
202,200,F149012,2.63,9.12,77310.07572,0,0.20244097,0.500533211,0.020606096,0.27595461,0.999534887,F149012#1,F149012,0.81,29
203,201,F149015,4.44,7.97,73535.31296,0,0.131446944,0.455087471,0.013613102,0.400342308,1.000489825,F149015#1,F149015,0.584,39
205,203,F149025,7.59,3.61,591312.811,0,0.098171004,0.369110598,0.173369302,0.3595174,1.000168305,F149025#1,F149025,0.064,39
